stratum	canonical	uuid	name	sec_citation_uuid	sec_title
A_many_sec	Acer platanoides	37e1934b-9fcf-47f3-a625-036eb215f591	Acer platanoides L.	790d6644-39f3-4173-ae6c-ec6cbf951a10	EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl
A_many_sec	Acer platanoides	44509202-aa02-431c-8453-48d345ded1e5	Acer platanoides L.	6eeeeacc-1da9-4839-98d6-3169c4237ecd	TUTIN et al.: Flora Europaea
A_many_sec	Acer platanoides	64c00d6b-2af8-4c7a-89b2-1eca6b48afe5	Acer platanoides L.	87ed3300-5846-4ff1-809c-eb289aec54d8	Schubert & Vent 1990
A_many_sec	Acer platanoides	a2aa3475-9d20-49cc-9f93-03fb33c62256	Acer platanoides L.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
A_many_sec	Acer platanoides	a2d6df6a-7293-431f-94c2-fc9908817ef2	Acer platanoides L.	0f11a41f-8827-49dc-82df-4b02ad96d33e	HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3
A_many_sec	Acer platanoides	b9c5efa9-b475-49e1-a8ab-2022cc58b716	Acer platanoides L.	ca735e89-ca5c-4381-8e4a-693e6467fde0	OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7
A_many_sec	Acer platanoides	d6094e49-0422-4026-a7ab-53b166599183	Acer platanoides L.	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
A_many_sec	Acer platanoides	eee07807-96a1-440d-b183-3015637d6825	Acer platanoides L.	88892c5c-755c-4f98-970a-7974bb456afc	Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4
A_many_sec	Acrostichum ilvense	093bda73-9725-4c26-ab1f-1fc6e69b54b5	Acrostichum ilvense L. syn.	0f11a41f-8827-49dc-82df-4b02ad96d33e	HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3
A_many_sec	Acrostichum ilvense	0fa611b3-21cb-4c9d-856d-98c03eb8aa0a	Acrostichum ilvense L. syn.	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
A_many_sec	Acrostichum ilvense	49904ef5-d276-4bd1-93e2-44c73c6d4cfc	Acrostichum ilvense L. syn.	88892c5c-755c-4f98-970a-7974bb456afc	Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4
A_many_sec	Acrostichum ilvense	9ab33e2c-5c18-4e7d-aff0-f1edad2c5afe	Acrostichum ilvense L. syn.	6eeeeacc-1da9-4839-98d6-3169c4237ecd	TUTIN et al.: Flora Europaea
A_many_sec	Acrostichum ilvense	af89f80a-8737-4d08-a4f1-7040d91c1e60	Acrostichum ilvense L. syn.	790d6644-39f3-4173-ae6c-ec6cbf951a10	EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl
A_many_sec	Acrostichum ilvense	bd3eb6d4-3118-4eb5-a5d8-b59d3e1802dd	Acrostichum ilvense L. syn.	87ed3300-5846-4ff1-809c-eb289aec54d8	Schubert & Vent 1990
A_many_sec	Acrostichum ilvense	f027e68f-8faf-489c-95e1-8db79d929c3f	Acrostichum ilvense L. syn.	ca735e89-ca5c-4381-8e4a-693e6467fde0	OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7
A_many_sec	Acrostichum ilvense	f8517994-584b-4d6f-b859-123c1ef550e7	Acrostichum ilvense L. syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
A_many_sec	Arbutus uva-ursi	238df8d4-18c7-420e-a61e-98793042fb79	Arbutus uva-ursi L. syn.	88892c5c-755c-4f98-970a-7974bb456afc	Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4
A_many_sec	Arbutus uva-ursi	2b411693-2303-4064-a913-608949350076	Arbutus uva-ursi L. syn.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
A_many_sec	Arbutus uva-ursi	4d7ebce5-b3a9-4207-8b3e-0b2249a685f3	Arbutus uva-ursi L. syn.	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
A_many_sec	Arbutus uva-ursi	548d9692-02fd-4019-8d26-886599f3ecc5	Arbutus uva-ursi L. syn.	87ed3300-5846-4ff1-809c-eb289aec54d8	Schubert & Vent 1990
A_many_sec	Arbutus uva-ursi	66008a8a-4788-45f0-84ff-ca6e29899dc8	Arbutus uva-ursi L. syn.	ca735e89-ca5c-4381-8e4a-693e6467fde0	OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7
A_many_sec	Arbutus uva-ursi	9caae3ee-6fb5-4045-b3bc-bc8fd859891c	Arbutus uva-ursi L. syn.	6eeeeacc-1da9-4839-98d6-3169c4237ecd	TUTIN et al.: Flora Europaea
A_many_sec	Arbutus uva-ursi	c0bc528f-8b94-47d5-b411-6f8cead0834c	Arbutus uva-ursi L. syn.	0f11a41f-8827-49dc-82df-4b02ad96d33e	HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3
A_many_sec	Arbutus uva-ursi	d5b45385-b98e-41ff-90d6-8d053c34c4bb	Arbutus uva-ursi L. syn.	790d6644-39f3-4173-ae6c-ec6cbf951a10	EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl
A_many_sec	Azolla filiculoides	3d4c1dea-ee1b-4b35-acb0-c265f21b9650	Azolla filiculoides Lam.	0f11a41f-8827-49dc-82df-4b02ad96d33e	HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3
A_many_sec	Azolla filiculoides	40930e26-2567-4494-9b83-fe76db6b1769	Azolla filiculoides Lam.	060afae5-76ef-44a7-921f-1202685ef351	Wisskirchen & Haeupler 1998
A_many_sec	Azolla filiculoides	55903b3d-2ea5-4292-b3c4-d22604a46a23	Azolla filiculoides Lam.	8b86a7f4-3586-4402-9d7a-54e9161ed4fd	SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl
A_many_sec	Azolla filiculoides	56583de4-419f-4f53-a0f3-09865fc0a1f8	Azolla filiculoides Lam.	88892c5c-755c-4f98-970a-7974bb456afc	Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4
A_many_sec	Azolla filiculoides	bcb7ae85-1e3a-4f0d-a490-d98d2d12dc1f	Azolla filiculoides Lam.	790d6644-39f3-4173-ae6c-ec6cbf951a10	EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl
A_many_sec	Azolla filiculoides	bd6d8aa5-d761-4a35-8a42-e3148d5f8d35	Azolla filiculoides Lam.	ca735e89-ca5c-4381-8e4a-693e6467fde0	OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7
